customer_id,application_date,gender,unsatisfied_ccjs,age_oldest_active_account,cc_value_3m,worst_paystatus_24m,defaults,months_since_default,search_payday,deceased
0,26/03/2019,M,0.0,190.0,,D,14.0,19.0,0.0,0.0
1,29/03/2019,F,0.0,30.0,,D,2.0,1.0,0.0,0.0
2,11/03/2019,F,0.0,39.0,,U,1.0,31.0,0.0,0.0
3,07/06/2017,M,0.0,9.0,,0,0.0,,0.0,0.0
4,11/06/2017,F,0.0,121.0,,U,2.0,46.0,0.0,0.0
5,12/06/2017,M,0.0,76.0,,0,2.0,64.0,0.0,0.0
6,25/06/2017,M,0.0,60.0,,0,0.0,,0.0,0.0
7,06/07/2017,M,0.0,24.0,,U,0.0,,0.0,0.0
8,11/07/2017,M,0.0,46.0,,4,3.0,32.0,1.0,0.0
9,11/07/2017,M,0.0,32.0,,,3.0,25.0,0.0,0.0
10,17/07/2017,F,0.0,139.0,,D,0.0,,0.0,0.0
11,17/07/2017,F,0.0,145.0,,D,3.0,61.0,0.0,0.0
12,18/07/2017,M,1.0,85.0,,D,8.0,17.0,0.0,0.0
13,19/07/2017,M,1.0,155.0,,D,3.0,56.0,0.0,0.0
14,21/07/2017,M,0.0,250.0,,D,1.0,22.0,0.0,0.0
15,24/07/2017,M,0.0,216.0,,D,0.0,,0.0,0.0
16,24/07/2017,F,2.0,63.0,,0,1.0,29.0,0.0,0.0
17,24/07/2017,M,2.0,117.0,,4,5.0,36.0,0.0,0.0
18,22/02/2018,F,0.0,101.0,,D,5.0,47.0,0.0,0.0
19,22/02/2018,F,2.0,89.0,,D,9.0,9.0,3.0,0.0
20,26/02/2018,F,1.0,195.0,200.0,0,2.0,26.0,0.0,0.0
21,26/02/2018,F,2.0,74.0,,U,9.0,39.0,0.0,0.0
22,27/02/2018,M,0.0,241.0,314.0,D,4.0,22.0,0.0,0.0
23,27/02/2018,F,0.0,91.0,,D,2.0,1.0,0.0,0.0
24,27/02/2018,M,4.0,86.0,153.0,D,4.0,22.0,0.0,0.0
25,28/02/2018,F,1.0,210.0,,D,3.0,21.0,0.0,0.0
26,05/03/2018,F,1.0,101.0,,D,3.0,18.0,2.0,0.0
27,06/03/2018,M,0.0,78.0,,D,1.0,16.0,1.0,0.0
28,06/03/2018,F,1.0,86.0,,D,5.0,1.0,1.0,0.0
29,06/03/2018,F,0.0,91.0,,U,3.0,32.0,0.0,0.0
30,07/03/2018,F,0.0,58.0,,D,2.0,15.0,0.0,0.0
31,07/03/2018,M,0.0,118.0,,2,0.0,,0.0,0.0
32,25/07/2018,F,0.0,161.0,,D,3.0,7.0,0.0,0.0
33,26/07/2018,M,0.0,218.0,,U,7.0,45.0,0.0,0.0
34,27/07/2018,M,0.0,192.0,,1,0.0,,0.0,0.0
35,28/07/2018,M,0.0,151.0,,3,1.0,44.0,0.0,0.0
36,29/07/2018,F,0.0,115.0,,U,0.0,,0.0,0.0
37,30/07/2018,F,0.0,47.0,,0,0.0,,0.0,0.0
38,30/07/2018,F,1.0,123.0,,D,3.0,2.0,0.0,0.0
